Categoría,Correo,Asunto,Message
ham,luis79_2@trabajo.com,"Cool, text me when you...","Cool, text me when you head out"
spam,ganador_loto_90@felicidades.info,URGENT ALERT: Immediate Action Required (ID: 467),"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
spam,servicio_seguridad_99@alerta-oficial.net,Important Notification: Review Your Offer (ID: 468),"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
ham,ana74_3@outlook.es,Happy birthday... May u find...,Happy birthday... May u find ur prince charming soon n dun work too hard...
ham,sofia98@gmail.com,"Oh, the grand is having...","Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
ham,carlos65_2@trabajo.com,You said to me before...,You said to me before i went back to bed that you can't sleep for anything.
ham,profesor_x12_1@uni.edu,I hope you arnt pissed...,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX
spam,servicio_seguridad_100@alerta-oficial.net,New Spam Message - Important (ID: 469),Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,sofia71@outlook.es,says the &lt;#&gt; year old...,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.
ham,ana96@gmail.com,I will come to ur...,I will come to ur home now
ham,luis45@trabajo.com,Free any day but i...,Free any day but i finish at 6 on mon n thurs...
ham,carlos45_2@hotmail.com,Will you be here for...,Will you be here for food
ham,jefe84@trabajo.com,"life alle mone,eppolum oru pole...","life alle mone,eppolum oru pole allalo"
ham,luis91@outlook.es,Nite...,Nite...
ham,sofia61@uni.edu,Two fundamentals of cool life:...,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
ham,jefe64@outlook.es,"Camera quite good, 10.1mega pixels,...","Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!"
ham,sofia84_3@trabajo.com,Hi Petey!noi’m ok just wanted...,Hi Petey!noi’m ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x
ham,secretaria48_3@gmail.com,I just saw ron burgundy...,I just saw ron burgundy captaining a party boat so yeah
ham,profesor_x58@uni.edu,I'm serious. You are in...,I'm serious. You are in the money base
ham,secretaria76_1@gmail.com,Already one guy loving you:-.,Already one guy loving you:-.
ham,profesor_x11@gmail.com,Staff of placement training in...,Staff of placement training in Amrita college.
ham,profesor_x51_2@trabajo.com,I always chat with you....,I always chat with you. In fact i need money can you raise me?
ham,secretaria12@hotmail.com,I'm job profile seems like...,I'm job profile seems like bpo..
ham,profesor_x17@hotmail.com,"Well, I was about to...","Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
ham,sofia14_1@outlook.es,So you think i should...,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,luis49@uni.edu,Are you willing to go...,Are you willing to go for apps class.
ham,profesor_x23_1@trabajo.com,Hanging out with my brother...,Hanging out with my brother and his family
ham,sofia21_5@gmail.com,No it will reach by...,No it will reach by 9 only. She telling she will be there. I dont know
ham,secretaria87@trabajo.com,Hey... are you going to...,Hey... are you going to quit soon? Xuhui and i working till end of the month
ham,sofia93_1@uni.edu,Im sorry bout last nite...,"Im sorry bout last nite it wasn’t ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
ham,profesor_x33_3@trabajo.com,Try neva mate!!,Try neva mate!!
ham,jefe59@uni.edu,Yeah that'd pretty much be...,Yeah that'd pretty much be the best case scenario
ham,sofia11@outlook.es,I not free today i...,I not free today i haf 2 pick my parents up tonite...
ham,jefe81_1@gmail.com,HEY BABE! FAR 2 SPUN-OUT...,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
ham,ana62_1@uni.edu,Should i send you naughty...,Should i send you naughty pix? :)
spam,ganador_loto_91@felicidades.info,Congratulations! You Have Won a Prize (ID: 470),"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
spam,servicio_seguridad_101@alerta-oficial.net,New Spam Message - Important (ID: 471),"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
ham,carlos46_1@uni.edu,Tyler (getting an 8th) has...,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
ham,luis29_4@gmail.com,Prepare to be pounded every...,Prepare to be pounded every night...
ham,jefe50@gmail.com,"Actually, my mobile is full...","Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
ham,luis90@gmail.com,"Sorry, I'll call later","Sorry, I'll call later"
ham,luis82@hotmail.com,Good evening! How are you?,Good evening! How are you?
ham,ana57_1@hotmail.com,I'm at home. Please call,I'm at home. Please call
ham,sofia66_1@hotmail.com,Oic cos me n my...,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
ham,ana24_1@trabajo.com,Mmmmm ... It was sooooo...,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
ham,profesor_x37_2@hotmail.com,We are pleased to inform...,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,secretaria18_3@uni.edu,What happen dear. Why you...,What happen dear. Why you silent. I am tensed
ham,secretaria11_1@gmail.com,"I'll get there at 3,...","I'll get there at 3, unless you guys want me to come some time sooner"
ham,ana44_1@trabajo.com,If you are not coughing...,If you are not coughing then its nothing
ham,ana83@gmail.com,Ü come lt 25 n...,Ü come lt 25 n pass to me lar
ham,sofia94@hotmail.com,I'm e person who's doing...,I'm e person who's doing e sms survey...
ham,profesor_x15@trabajo.com,Lol ok ill try to...,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,carlos94_1@trabajo.com,Thank You meet you monday,Thank You meet you monday
ham,jefe31_1@trabajo.com,SO IS TH GOWER MATE...,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK ‘MORROW. C U THIS WK? WHO WAS THE MSG 4? – RANDOM!
spam,servicio_seguridad_102@alerta-oficial.net,New Spam Message - Important (ID: 472),"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,profesor_x76_1@uni.edu,Single line with a big...,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
ham,sofia43@uni.edu,I got like $ &lt;#&gt;...,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
ham,jefe98@hotmail.com,Dad wanted to talk about...,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,jefe98_1@gmail.com,I love you both too...,I love you both too :-)
ham,carlos28@uni.edu,Lol u still feeling sick?,Lol u still feeling sick?
ham,carlos33_2@outlook.es,Din i tell u jus...,Din i tell u jus now 420
ham,jefe72_1@trabajo.com,am up to my eyes...,am up to my eyes in philosophy
spam,ganador_loto_92@felicidades.info,URGENT ALERT: Immediate Action Required (ID: 473),From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more
ham,carlos14@trabajo.com,Ok lor. I'm in town...,Ok lor. I'm in town now lei.
ham,jefe76_2@uni.edu,I had it already..sabarish asked...,I had it already..sabarish asked me to go..
ham,profesor_x77@gmail.com,No da. . Vijay going...,No da. . Vijay going to talk in jaya tv
spam,servicio_seguridad_103@alerta-oficial.net,Congratulations! You Have Won a Prize (ID: 474),URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,carlos11_2@gmail.com,Lol I know! Hey someone...,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
spam,servicio_seguridad_104@alerta-oficial.net,New Spam Message - Important (ID: 475),Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
ham,secretaria67@outlook.es,Still chance there. If you...,Still chance there. If you search hard you will get it..let have a try :)
spam,ganador_loto_93@felicidades.info,New Spam Message - Important (ID: 476),"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
ham,secretaria83@gmail.com,Do you always celebrate NY's...,Do you always celebrate NY's with your family ?
ham,secretaria71_1@outlook.es,We know TAJ MAHAL as...,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,carlos77@gmail.com,Its ok..come to my home...,Its ok..come to my home it vl nice to meet and v can chat..
spam,soporte_tecnico_94@actualizacion-sistema.com,Congratulations! You Have Won a Prize (ID: 477),Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
ham,secretaria17_1@gmail.com,Sent me de webadres for...,Sent me de webadres for geting salary slip
ham,secretaria60@hotmail.com,She's fine. Sends her greetings,She's fine. Sends her greetings
spam,noresponder_85@notificacion-urgente.org,New Spam Message - Important (ID: 478),Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,sofia80@outlook.es,But you dint in touch...,But you dint in touch with me.
ham,profesor_x51@outlook.es,"Yup, leaving right now, be...","Yup, leaving right now, be back soon"
spam,noresponder_86@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 479),You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
ham,sofia88_2@hotmail.com,Yeah sure I'll leave in...,Yeah sure I'll leave in a min
ham,sofia65_2@uni.edu,And do you have any...,And do you have any one that can teach me how to ship cars.
ham,profesor_x35_1@uni.edu,The sign of maturity is...,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,carlos45@uni.edu,Yeah confirmed for you staying...,Yeah confirmed for you staying at  that weekend
ham,sofia83_1@gmail.com,They said ü dun haf...,They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..
ham,luis97@hotmail.com,Multiply the numbers independently and...,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,jefe28@gmail.com,Have a lovely night and...,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
ham,carlos91@gmail.com,Ard 4 lor...,Ard 4 lor...
ham,sofia62_3@outlook.es,You are right. Meanwhile how's...,You are right. Meanwhile how's project twins comin up
ham,ana80_1@trabajo.com,I sent your maga that...,I sent your maga that money yesterday oh.
spam,soporte_tecnico_95@actualizacion-sistema.com,New Spam Message - Important (ID: 480),Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,sofia96_2@trabajo.com,Heart is empty without love.....,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
spam,ganador_loto_94@felicidades.info,New Spam Message - Important (ID: 481),I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,sofia39@gmail.com,Our ride equally uneventful -...,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
ham,sofia35_1@trabajo.com,If you were/are free i...,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
ham,profesor_x45@gmail.com,I've sent my wife your...,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
ham,sofia86_2@trabajo.com,I am in escape theatre...,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,jefe70@hotmail.com,How much would it cost...,How much would it cost to hire a hitman
ham,secretaria72@gmail.com,I anything lor...,I anything lor...
ham,secretaria56_1@outlook.es,"Sorry, I'll call later","Sorry, I'll call later"
spam,soporte_tecnico_96@actualizacion-sistema.com,Exclusive Free Offer! (ID: 482),Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705
ham,luis42@outlook.es,Huh but i cant go...,Huh but i cant go 2 ur house empty handed right?
ham,profesor_x22_3@outlook.es,Good morning princess! Happy New...,Good morning princess! Happy New Year!
spam,soporte_tecnico_97@actualizacion-sistema.com,Congratulations! You Have Won a Prize (ID: 483),Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,secretaria60_1@trabajo.com,"Aight, we'll head out in...","Aight, we'll head out in a few"
ham,profesor_x59_1@outlook.es,Then wat r u doing...,Then wat r u doing now? Busy wif work?
ham,sofia20@hotmail.com,I know you mood off...,I know you mood off today
ham,secretaria81_1@trabajo.com,"Jay told me already, will...","Jay told me already, will do"
ham,ana81_2@hotmail.com,Cps is causing the outages...,Cps is causing the outages to conserve energy.
ham,secretaria64_2@gmail.com,"I'm not sure, I was...","I'm not sure, I was just checking out what was happening around the area"
ham,carlos86_1@uni.edu,Hey morning what you come...,Hey morning what you come to ask:-) pa...
ham,secretaria70_1@outlook.es,Jordan got voted out last...,Jordan got voted out last nite!
ham,sofia11_1@trabajo.com,That means you got an...,"That means you got an A in epi, she.s fine. She.s here now."
ham,carlos91_2@uni.edu,I have no idea where...,I have no idea where you are
ham,secretaria42_1@uni.edu,Pls come quick cant bare...,Pls come quick cant bare this.
ham,luis76@outlook.es,Joy's father is John. Then...,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,luis75_5@outlook.es,Call me. I m unable...,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
ham,profesor_x24_1@uni.edu,No. I.ll meet you in...,No. I.ll meet you in the library
ham,carlos25_1@gmail.com,"K, my roommate also wants...","K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
ham,sofia89_3@trabajo.com,Depends on individual lor e...,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
ham,secretaria17_2@trabajo.com,Ok c ü then.,Ok c ü then.
ham,luis76_1@hotmail.com,I enjoy watching and playing...,I enjoy watching and playing football and basketball. Anything outdoors. And you?
ham,profesor_x74_1@outlook.es,Can you please ask macho...,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb"
ham,luis32_1@trabajo.com,Sorry sent blank msg again....,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
ham,luis42_1@gmail.com,Hey check it da. I...,Hey check it da. I have listed da.
spam,paypal_support_99@pago-pendient.biz,New Spam Message - Important (ID: 484),8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity
ham,secretaria47_2@hotmail.com,I meant as an apology...,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night
ham,jefe58@uni.edu,That means from february to...,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham,luis45@hotmail.com,Goin to workout lor... Muz...,Goin to workout lor... Muz lose e fats...
ham,carlos22_1@outlook.es,"Damn, poor zac doesn't stand...","Damn, poor zac doesn't stand a chance"
ham,sofia19_2@uni.edu,No message..no responce..what happend?,No message..no responce..what happend?
ham,jefe46_2@gmail.com,I want to tel u...,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
ham,luis34@gmail.com,Yeah right! I'll bring my...,Yeah right! I'll bring my tape measure fri!
ham,ana80@outlook.es,Still chance there. If you...,Still chance there. If you search hard you will get it..let have a try :)
ham,secretaria25_2@trabajo.com,Meeting u is my work....,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,ana64_1@uni.edu,Should I head straight there...,Should I head straight there or what
spam,soporte_tecnico_98@actualizacion-sistema.com,New Spam Message - Important (ID: 485),Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham,profesor_x77@hotmail.com,Thank you princess! You are...,Thank you princess! You are so sexy...
ham,secretaria70_1@hotmail.com,Oooh I got plenty of...,Oooh I got plenty of those!
ham,profesor_x49@uni.edu,Hui xin is in da...,Hui xin is in da lib.
ham,profesor_x67_2@gmail.com,Its a big difference. &lt;#&gt;...,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,luis12@outlook.es,It's not that you make...,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
ham,profesor_x81@outlook.es,ME 2 BABE I FEEL...,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
ham,ana61@hotmail.com,You know what hook up...,You know what hook up means right?
spam,soporte_tecnico_99@actualizacion-sistema.com,URGENT ALERT: Immediate Action Required (ID: 486),"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
ham,profesor_x51_1@outlook.es,Wat's da model num of...,Wat's da model num of ur phone?
ham,ana31@gmail.com,He's really into skateboarding now...,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
spam,ganador_loto_95@felicidades.info,New Spam Message - Important (ID: 487),"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
ham,carlos58_2@outlook.es,My house here e sky...,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
ham,secretaria80@hotmail.com,"Sorry, left phone upstairs. OK,...","Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
ham,sofia88_2@gmail.com,* Thought I didn't see...,* Thought I didn't see you.
spam,soporte_tecnico_100@actualizacion-sistema.com,New Spam Message - Important (ID: 488),wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
ham,profesor_x33@hotmail.com,Carlos says we can pick...,Carlos says we can pick up from him later so yeah we're set
ham,sofia85_2@gmail.com,"Hey babe, my friend had...","Hey babe, my friend had to cancel, still up for a visit ?"
ham,jefe81_2@gmail.com,As per your request 'Maangalyam...,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,luis37@gmail.com,Hmm ill have to think...,Hmm ill have to think about it... ok you're forgiven! =D
ham,secretaria34@trabajo.com,We are hoping to get...,"We are hoping to get away by 7, from Langport. You still up for town tonight?"
ham,carlos75@outlook.es,Want to send me a...,Want to send me a virtual hug?... I need one
ham,carlos81_1@gmail.com,"Probably not, still going over...","Probably not, still going over some stuff here"
ham,profesor_x78_3@trabajo.com,It has issues right now....,It has issues right now. Ill fix for her by tomorrow.
ham,profesor_x19_2@hotmail.com,Why i come in between...,Why i come in between you people
ham,jefe50_2@uni.edu,Senthil group company Apnt 5pm.,Senthil group company Apnt 5pm.
ham,sofia17_3@uni.edu,Oh really?? Did you make...,Oh really?? Did you make it on air? What's your talent?
ham,jefe39_1@trabajo.com,Studying. But i.ll be free...,Studying. But i.ll be free next weekend.
ham,luis82_1@hotmail.com,R u here yet? I'm...,R u here yet? I'm wearing blue shirt n black pants.
ham,carlos47_3@outlook.es,Wait.i will come out.. &lt;#&gt;...,Wait.i will come out.. &lt;#&gt;  min:)
ham,luis42_1@hotmail.com,I will reach ur home...,I will reach ur home in  &lt;#&gt;  minutes
ham,carlos76_1@uni.edu,Well then you have a...,Well then you have a great weekend!
ham,ana85_3@outlook.es,What are you doing in...,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?"
ham,carlos98@trabajo.com,Frnd s not juz a...,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."
ham,ana93@gmail.com,Huh? 6 also cannot? Then...,Huh? 6 also cannot? Then only how many mistakes?
ham,sofia75_1@hotmail.com,Ha... U jus ate honey...,Ha... U jus ate honey ar? So sweet...
ham,sofia11_2@trabajo.com,I'm turning off my phone....,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
ham,carlos55_1@trabajo.com,Honey ? Sweetheart ? Darling...,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?"
ham,ana41_1@outlook.es,Thanks for loving me so....,Thanks for loving me so. You rock
ham,carlos46_2@uni.edu,Yeah imma come over cause...,Yeah imma come over cause jay wants to do some drugs
ham,jefe36_1@gmail.com,Ok thanx... Take care then...,Ok thanx... Take care then...
ham,sofia59_2@gmail.com,Yup. Thk of u oso...,Yup. Thk of u oso boring wat.
ham,secretaria63@trabajo.com,came to look at the...,"came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,sofia82_1@hotmail.com,Moji just informed me that...,Moji just informed me that you saved our lives. Thanks.
spam,paypal_support_100@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 489),You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,luis96@hotmail.com,Whos this am in class:-),Whos this am in class:-)
ham,secretaria92_2@trabajo.com,Hey r ü still online?...,Hey r ü still online? I've finished the formatting...
ham,carlos62@hotmail.com,Great! So what attracts you...,Great! So what attracts you to the brothas?
spam,soporte_tecnico_101@actualizacion-sistema.com,Important Notification: Review Your Offer (ID: 490),Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,ana11_1@outlook.es,Stupid.its not possible,Stupid.its not possible
ham,jefe80@uni.edu,I cant pick the phone...,I cant pick the phone right now. Pls send a message
ham,luis18_2@gmail.com,LOL what happens in Vegas...,LOL what happens in Vegas stays in vegas
ham,secretaria78@trabajo.com,"Hello, hello, hi lou sorry...","Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldn’t make ur b’day 2 hun!"
ham,jefe20_1@hotmail.com,When did i use soc......,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
ham,secretaria94_2@uni.edu,Dad says hurry the hell...,Dad says hurry the hell up
ham,luis96_1@trabajo.com,Wake me up at &lt;#&gt;...,Wake me up at  &lt;#&gt;  am morning:)
ham,carlos16_1@outlook.es,I get out of class...,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
ham,profesor_x50@uni.edu,Great! I shoot big loads...,Great! I shoot big loads so get ready!
ham,carlos40@gmail.com,I'll meet you in the...,I'll meet you in the lobby
ham,profesor_x10_1@outlook.es,You still coming tonight?,You still coming tonight?
ham,carlos46@outlook.es,What happen dear tell me,What happen dear tell me
ham,secretaria70@trabajo.com,"Sir, i am waiting for...","Sir, i am waiting for your call, once free please call me."
ham,carlos35_2@uni.edu,No i am not having...,No i am not having not any movies in my laptop
ham,carlos48@trabajo.com,I was about to do...,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,profesor_x24@hotmail.com,Ok im not sure what...,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
ham,carlos75@uni.edu,"Hello, As per request from...","Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
ham,carlos70_2@trabajo.com,I am in tirupur. call...,I am in tirupur.  call you da.
spam,noresponder_87@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 491),You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p
ham,luis59_1@hotmail.com,S:)but he had some luck.2...,S:)but he had some luck.2 catches put down:)
ham,jefe74@gmail.com,How i noe... Did ü...,How i noe... Did ü specify da domain as nusstu... Ü still in sch...
ham,jefe96@hotmail.com,Oh...i asked for fun. Haha...take...,Oh...i asked for fun. Haha...take care. ü
ham,ana61@uni.edu,Shall i get my pouch?,Shall i get my pouch?
ham,sofia44_1@outlook.es,Hey loverboy! I love you...,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,luis33@gmail.com,How is my boy? No...,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,profesor_x21@uni.edu,Kent vale lor... Ü wait...,Kent vale lor... Ü wait 4 me there ar?
ham,luis28@trabajo.com,Ok. Very good. Its all...,Ok. Very good. Its all about making that money.
ham,jefe49@trabajo.com,Reading gud habit.. Nan bari...,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)
ham,luis75_6@outlook.es,Aight do you still want...,Aight do you still want to get money
spam,servicio_seguridad_105@alerta-oficial.net,Exclusive Free Offer! (ID: 492),Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,ana51_1@trabajo.com,Ok.ok ok..then..whats ur todays plan,Ok.ok ok..then..whats ur todays plan
ham,carlos32@hotmail.com,ARE YOU IN TOWN? THIS...,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,ana19@uni.edu,"Sorry pa, i dont knw...","Sorry pa, i dont knw who ru pa?"
ham,luis26@hotmail.com,Wat u doing there?,Wat u doing there?
ham,sofia46@gmail.com,If i not meeting ü...,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
ham,luis60@gmail.com,"Oh, i will get paid....","Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
ham,profesor_x88_1@uni.edu,"I am late,so call you...","I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
ham,sofia56@outlook.es,Networking technical support associate.,Networking technical support associate.
ham,carlos52_1@uni.edu,I'm gonna rip out my...,I'm gonna rip out my uterus.
ham,secretaria11_1@trabajo.com,Cool. Do you like swimming?...,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
